Entity,Country,DeathRate
Intentional injuries,France,18.74
Intentional injuries,Germany,14.36
Intentional injuries,India,20.50
Intentional injuries,Indonesia,7.98
Intentional injuries,Japan,18.81
Intentional injuries,Malaysia,9.64
Intentional injuries,Philippines,22.14
Intentional injuries,Singapore,10.20
Intentional injuries,Thailand,19.63
Intentional injuries,UK,10.17
Intentional injuries,US,22.04
Intentional injuries,Viet Nam,11.25
